Date,Below Treeline,Treeline,Above Treeline
2012-01-01,2,3,3
2012-01-02,2,3,3
2012-01-03,2,4,4
2012-01-04,3,4,4
2012-01-05,2,3,4
2012-01-06,1,2,3
2012-01-07,1,2,3
2012-01-08,2,3,4
2012-01-09,2,3,4
2012-01-10,1,2,3
2012-01-11,1,2,2
2012-01-12,1,1,2
2012-01-13,1,1,2
2012-01-14,1,2,2
2012-01-15,2,3,3
2012-01-16,1,2,2
2012-01-17,2,2,3
2012-01-18,2,2,3
2012-01-19,2,2,2
2012-01-20,3,3,4
2012-01-21,4,4,4
2012-01-22,3,3,3
2012-01-23,3,3,4
2012-01-24,4,4,4
2012-01-25,4,4,4
2012-01-26,2,3,4
2012-01-27,2,3,3
2012-01-28,1,2,2
2012-01-29,2,3,4
2012-01-30,2,3,3
2012-01-31,1,2,2
2012-02-01,2,2,3
2012-02-02,2,2,3
2012-02-03,2,2,2
2012-02-04,1,2,3
2012-02-05,1,2,2
2012-02-06,1,1,2
2012-02-07,1,1,2
2012-02-08,1,1,2
2012-02-09,1,1,2
2012-02-10,1,2,3
2012-02-11,1,1,2
2012-02-12,1,1,2
2012-02-13,1,1,2
2012-02-14,1,1,1
2012-02-15,1,1,1
2012-02-16,1,1,2
2012-02-17,1,1,2
2012-02-18,1,2,3
2012-02-19,2,3,3
2012-02-20,2,2,2
2012-02-21,4,4,4
2012-02-22,3,4,4
2012-02-23,2,3,3
2012-02-24,3,4,4
2012-02-25,3,3,4
2012-02-26,3,3,3
2012-02-27,2,3,3
2012-02-28,2,3,3
2012-02-29,3,3,3
2012-03-01,2,3,3
2012-03-02,2,3,3
2012-03-03,3,3,4
2012-03-04,2,3,3
2012-03-05,3,4,4
2012-03-06,2,3,3
2012-03-07,2,2,3
2012-03-08,2,3,3
2012-03-09,3,4,4
2012-03-10,3,4,4
2012-03-11,4,4,4
2012-03-12,4,4,4
2012-03-13,3,4,4
2012-03-14,4,4,4
2012-03-15,4,4,4
2012-03-16,3,4,4
2012-03-17,3,3,4
2012-03-18,2,3,4
2012-03-19,2,3,3
2012-03-20,3,4,4
2012-03-21,2,3,3
2012-03-22,2,2,3
2012-03-23,2,3,3
2012-03-24,2,2,3
2012-03-25,1,2,2
2012-03-26,1,2,2
2012-03-27,1,2,3
2012-03-28,2,3,3
2012-03-29,3,3,4
2012-03-30,2,3,3
2012-03-31,2,3,3
2012-04-01,2,3,3
2012-04-02,3,4,4
2012-04-03,3,4,4
2012-04-04,2,3,3
2012-04-05,1,2,3
2012-04-06,1,2,2
2012-04-07,1,2,3
2012-04-08,1,2,3
2012-04-09,1,1,2
2012-04-10,1,2,2
2012-04-11,1,1,2
2012-04-12,1,1,2
2012-04-13,1,1,2
2012-04-14,2,2,2
2012-04-15,1,1,2
2012-04-16,2,2,2
2012-04-17,1,2,2
2012-04-18,1,1,2
2012-04-19,1,1,1
2012-04-20,2,2,3
2012-04-21,1,2,3
2012-04-22,2,2,3
2012-04-23,3,3,3
2012-04-24,1,2,3
2012-04-25,1,2,3
2012-04-26,1,2,3
2012-04-27,1,2,3
2012-04-28,1,2,3
2012-04-29,1,2,3
2012-04-30,1,2,3
2013-01-01,1,1,2
2013-01-02,1,1,2
2013-01-03,1,1,2
2013-01-04,1,1,1
2013-01-05,2,2,3
2013-01-06,2,2,3
2013-01-07,2,3,3
2013-01-08,2,3,3
2013-01-09,3,4,4
2013-01-10,2,3,3
2013-01-11,2,3,3
2013-01-12,2,2,3
2013-01-13,2,2,2
2013-01-14,2,2,3
2013-01-15,2,3,3
2013-01-16,2,2,3
2013-01-17,2,2,2
2013-01-18,2,2,2
2013-01-19,1,2,2
2013-01-20,1,2,2
2013-01-21,1,1,2
2013-01-22,1,1,2
2013-01-23,2,3,3
2013-01-24,3,3,3
2013-01-25,2,3,4
2013-01-26,2,3,3
2013-01-27,2,3,3
2013-01-28,2,2,3
2013-01-29,1,3,3
2013-01-30,1,2,2
2013-01-31,1,2,2
2013-02-01,2,3,3
2013-02-02,2,3,3
2013-02-03,1,2,2
2013-02-04,1,1,2
2013-02-05,2,2,3
2013-02-06,3,3,4
2013-02-07,2,3,3
2013-02-08,2,3,3
2013-02-09,2,2,3
2013-02-10,2,2,3
2013-02-11,1,2,2
2013-02-12,1,2,2
2013-02-13,1,2,2
2013-02-14,1,1,2
2013-02-15,1,1,2
2013-02-16,1,1,2
2013-02-17,1,1,2
2013-02-18,1,1,2
2013-02-19,1,1,2
2013-02-20,1,1,2
2013-02-21,1,2,2
2013-02-22,3,4,4
2013-02-23,3,3,4
2013-02-24,2,3,4
2013-02-25,3,4,4
2013-02-26,3,3,3
2013-02-27,2,3,3
2013-02-28,3,4,4
2013-03-01,4,4,4
2013-03-02,3,4,4
2013-03-03,2,3,3
2013-03-04,2,3,3
2013-03-05,1,2,3
2013-03-06,1,2,2
2013-03-07,1,2,2
2013-03-08,1,2,2
2013-03-09,1,2,2
2013-03-10,1,1,2
2013-03-11,1,2,2
2013-03-12,2,3,4
2013-03-13,3,4,4
2013-03-14,3,4,4
2013-03-15,2,3,4
2013-03-16,2,3,3
2013-03-17,1,2,3
2013-03-18,2,2,3
2013-03-19,1,2,3
